target,model,lag_months,window_months,n_predictions,rolling_rmse,rolling_mae,rolling_r2,directional_accuracy,sign_accuracy,target_family,baseline_gm2_rmse_same_lag,baseline_gm2_mae_same_lag,rmse_improvement_vs_same_lag_gm2,mae_improvement_vs_same_lag_gm2
WTI_GM2_path_residual,gm2_only,8,60,142,36.56653926151105,27.044888242765246,-0.10986693911157008,0.46099290780141844,0.4014084507042254,gm2_path_residual,36.56653926151105,27.044888242765246,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,8,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,36.56653926151105,27.044888242765246,0.04203192076513667,0.09660290717527602
WTI_GM2_path_residual,gm2_plus_ci,8,60,142,35.5773282001491,24.269618082702547,-0.05063014050380943,0.5177304964539007,0.5563380281690141,gm2_path_residual,36.56653926151105,27.044888242765246,0.027052356644621637,0.10261717982159198
WTI_GM2_path_residual,gm2_only,9,60,142,36.161759172547036,26.839298823028916,-0.08543118402015892,0.41134751773049644,0.39436619718309857,gm2_path_residual,36.161759172547036,26.839298823028916,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,9,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,36.161759172547036,26.839298823028916,0.0313088140023507,0.08968287229172824
WTI_GM2_path_residual,gm2_plus_ci,9,60,142,35.1147750813206,23.898869277325463,-0.023488523849835463,0.5177304964539007,0.6056338028169014,gm2_path_residual,36.161759172547036,26.839298823028916,0.028952797518248908,0.10955686901851833
WTI_GM2_path_residual,gm2_only,10,60,142,35.915884487225306,26.770670870665306,-0.07072101736913838,0.48226950354609927,0.3873239436619718,gm2_path_residual,35.915884487225306,26.770670870665306,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,10,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,35.915884487225306,26.770670870665306,0.024677301401962937,0.08734922885118981
WTI_GM2_path_residual,gm2_plus_ci,10,60,142,34.90843814224367,24.117885865094504,-0.011495679012708537,0.524822695035461,0.5845070422535211,gm2_path_residual,35.915884487225306,26.770670870665306,0.028050161073994155,0.09909295954468081
WTI_GM2_path_residual,gm2_only,11,60,142,35.59953886273224,26.431463621251886,-0.05194235121354862,0.41843971631205673,0.4154929577464789,gm2_path_residual,35.59953886273224,26.431463621251886,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,11,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,35.59953886273224,26.431463621251886,0.01601036137894885,0.07563675760129988
WTI_GM2_path_residual,gm2_plus_ci,11,60,142,34.6756452013443,23.962725822615948,0.0019500053727140587,0.49645390070921985,0.5704225352112676,gm2_path_residual,35.59953886273224,26.431463621251886,0.025952405309247535,0.09340147916178887
WTI_GM2_path_residual,gm2_only,12,60,142,35.209552015023206,25.96785966630937,-0.029020896613821234,0.46099290780141844,0.45774647887323944,gm2_path_residual,35.209552015023206,25.96785966630937,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,12,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,35.209552015023206,25.96785966630937,0.005111528665018318,0.059134109308899
WTI_GM2_path_residual,gm2_plus_ci,12,60,142,34.34821474515006,23.331660180803922,0.020709516253860305,0.5177304964539007,0.5915492957746479,gm2_path_residual,35.209552015023206,25.96785966630937,0.024463170377902892,0.10151778080215232
WTI_GM2_path_residual,gm2_only,13,60,142,34.889041468234474,25.460053539804274,-0.010371927724043495,0.44680851063829785,0.4647887323943662,gm2_path_residual,34.889041468234474,25.460053539804274,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,13,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,34.889041468234474,25.460053539804274,-0.004028081783486132,0.04036834109220393
WTI_GM2_path_residual,gm2_plus_ci,13,60,142,34.181515737232246,22.940705190006554,0.03019184994394286,0.5106382978723404,0.5774647887323944,gm2_path_residual,34.889041468234474,25.460053539804274,0.020279311245807972,0.09895298711210362
WTI_GM2_path_residual,gm2_only,14,60,142,34.80757258583408,25.349146986749194,-0.0056588279453781976,0.46808510638297873,0.4507042253521127,gm2_path_residual,34.80757258583408,25.349146986749194,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,14,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,34.80757258583408,25.349146986749194,-0.006378060240610757,0.03616979983369031
WTI_GM2_path_residual,gm2_plus_ci,14,60,142,34.230456797277846,22.85402896535331,0.027412721111744864,0.5177304964539007,0.5845070422535211,gm2_path_residual,34.80757258583408,25.349146986749194,0.016580179130075506,0.0984300585222911
WTI_GM2_path_residual,gm2_only,15,60,142,34.645554359077146,25.359021949249804,0.00368143007313404,0.41134751773049644,0.4859154929577465,gm2_path_residual,34.645554359077146,25.359021949249804,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,15,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,34.645554359077146,25.359021949249804,-0.011084337619732787,0.03654512137024823
WTI_GM2_path_residual,gm2_plus_ci,15,60,142,33.9870342639435,22.841267495774094,0.041196227628441995,0.524822695035461,0.6126760563380281,gm2_path_residual,34.645554359077146,25.359021949249804,0.019007347618356513,0.099284367453698
WTI_GM2_path_residual,gm2_only,16,60,142,34.51531135145823,25.37441734098257,0.011158269137931165,0.41843971631205673,0.5,gm2_path_residual,34.51531135145823,25.37441734098257,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,16,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,34.51531135145823,25.37441734098257,-0.014899649141829466,0.03712967726660742
WTI_GM2_path_residual,gm2_plus_ci,16,60,142,33.64884908147187,22.702243044151118,0.06018229147257037,0.5106382978723404,0.6126760563380281,gm2_path_residual,34.51531135145823,25.37441734098257,0.025103707197175557,0.10530977956745388
WTI_GM2_path_residual,gm2_only,17,60,142,34.36047983413749,25.2498795172938,0.020010019672689783,0.46808510638297873,0.5422535211267606,gm2_path_residual,34.36047983413749,25.2498795172938,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,17,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,34.36047983413749,25.2498795172938,-0.01947288133659045,0.03238059423016787
WTI_GM2_path_residual,gm2_plus_ci,17,60,142,33.30091642099688,22.4575332544524,0.07951743737096817,0.5177304964539007,0.5985915492957746,gm2_path_residual,34.36047983413749,25.2498795172938,0.03083668849373659,0.11058849848883055
WTI_GM2_path_residual,gm2_only,18,60,142,34.268765973024884,25.134692849133202,0.025234551739447664,0.5177304964539007,0.5352112676056338,gm2_path_residual,34.268765973024884,25.134692849133202,0.0,0.0
WTI_GM2_path_residual,ci_diagnostic,18,60,142,35.02957738061596,24.43227341428368,-0.018528042969240044,0.5319148936170213,0.5774647887323944,gm2_path_residual,34.268765973024884,25.134692849133202,-0.02220130740015443,0.027946211201611896
WTI_GM2_path_residual,gm2_plus_ci,18,60,142,33.326234134845755,22.34235549964132,0.07811727332146234,0.5319148936170213,0.5845070422535211,gm2_path_residual,34.268765973024884,25.134692849133202,0.027504107936686575,0.11109494618662816
Brent_GM2_path_residual,gm2_only,0,60,141,35.266580451277946,24.01252349620203,-0.005125956328980719,0.5714285714285714,0.6028368794326241,gm2_path_residual,35.266580451277946,24.01252349620203,0.0,0.0
Brent_GM2_path_residual,ci_diagnostic,0,60,142,36.615228215181865,26.87207845088751,-0.0866765656974271,0.5106382978723404,0.5704225352112676,gm2_path_residual,35.266580451277946,24.01252349620203,-0.03824152346630615,-0.11908598257645711
Brent_GM2_path_residual,gm2_plus_ci,0,60,141,35.93639468116769,24.419932650958444,-0.04366902563875197,0.5214285714285715,0.6099290780141844,gm2_path_residual,35.266580451277946,24.01252349620203,-0.018992888488724265,-0.01696652810442241
Brent_GM2_path_residual,gm2_only,1,60,142,36.04164175765386,24.90516228837672,-0.052897130436354134,0.5602836879432624,0.5845070422535211,gm2_path_residual,36.04164175765386,24.90516228837672,0.0,0.0
Brent_GM2_path_residual,ci_diagnostic,1,60,142,36.615228215181865,26.87207845088751,-0.0866765656974271,0.5106382978723404,0.5704225352112676,gm2_path_residual,36.04164175765386,24.90516228837672,-0.015914548548726808,-0.07897624354886276
Brent_GM2_path_residual,gm2_plus_ci,1,60,142,36.76636360528642,25.289551926181407,-0.09566595338148631,0.5460992907801419,0.5845070422535211,gm2_path_residual,36.04164175765386,24.90516228837672,-0.02010790331099874,-0.015434135034088218
Brent_GM2_path_residual,gm2_only,2,60,142,36.89350833097635,26.110620397326855,-0.10325707797325334,0.524822695035461,0.5774647887323944,gm2_path_residual,36.89350833097635,26.110620397326855,0.0,0.0
Brent_GM2_path_residual,ci_diagnostic,2,60,142,36.615228215181865,26.87207845088751,-0.0866765656974271,0.5106382978723404,0.5704225352112676,gm2_path_residual,36.89350833097635,26.110620397326855,0.00754279352611308,-0.029162771392387595
Brent_GM2_path_residual,gm2_plus_ci,2,60,142,37.298412119700146,26.086919003729655,-0.12760630978286747,0.5531914893617021,0.5845070422535211,gm2_path_residual,36.89350833097635,26.110620397326855,-0.010974933180421597,0.0009077300055124937
Brent_GM2_path_residual,gm2_only,3,60,142,37.18262281600081,26.614987055341008,-0.1206160879881013,0.4397163120567376,0.5704225352112676,gm2_path_residual,37.18262281600081,26.614987055341008,0.0,0.0
